Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2,1,1085027.5029682815,2,2.5,3067.0,2.0,1.0,1.0,202.0,,,32.0,-37.7996,144.9984,3.0,4019.0
2,1,1203246.5074563026,2,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,32.0,-37.8079,144.9934,3.0,4019.0
3,1,1596808.2438104749,4,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,32.0,-37.8093,144.9944,3.0,4019.0
3,1,1485323.6501292288,1,2.5,3067.0,3.0,2.0,1.0,94.0,,,32.0,-37.7969,144.9969,3.0,4019.0
4,1,1459940.166216135,5,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,32.0,-37.8072,144.9941,3.0,4019.0
2,1,1041650.9996937513,2,2.5,3067.0,2.0,1.0,0.0,181.0,,,32.0,-37.8041,144.9953,3.0,4019.0
3,1,1513312.7536384761,2,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,32.0,-37.8024,144.9993,3.0,4019.0
2,1,1319502.625712812,2,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,32.0,-37.806,144.9954,3.0,4019.0
3,1,1502793.6275797486,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
2,2,1026391.7132495642,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
1,3,474119.93274891376,2,2.5,3067.0,1.0,1.0,1.0,0.0,,,32.0,-37.8008,144.9973,3.0,4019.0
2,1,1218232.577091366,2,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,32.0,-37.801,144.9989,3.0,4019.0
2,3,819611.6796549559,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
2,3,807604.435904026,4,2.5,3067.0,,,,,,,,,,3.0,4019.0
1,3,537982.5551684797,4,2.5,3067.0,,,,,,,,,,3.0,4019.0
2,3,874667.05215168,5,2.5,3067.0,2.0,2.0,1.0,0.0,,,32.0,-37.811,145.0067,3.0,4019.0
3,1,1421878.6075135171,5,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,32.0,-37.8085,144.9964,3.0,4019.0
2,3,767898.0597513914,2,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,32.0,-37.8078,144.9965,3.0,4019.0
4,1,1768789.1360948682,2,2.5,3067.0,,,,,,,,-37.8084,144.9942,3.0,4019.0
1,3,549989.7989194095,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
2,1,1092492.9997760057,2,2.5,3067.0,2.0,1.0,1.0,195.0,,,32.0,-37.8084,144.9973,3.0,4019.0
1,3,464444.74814867973,4,2.5,3067.0,1.0,1.0,1.0,0.0,,,32.0,-37.8016,144.9988,3.0,4019.0
2,1,1324034.0521688461,2,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,32.0,-37.809,144.9976,3.0,4019.0
3,1,1695620.0350632071,2,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,32.0,-37.8056,144.993,3.0,4019.0
2,2,1026391.7132495642,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
3,1,1541390.6239318252,2,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,32.0,-37.8021,144.9965,3.0,4019.0
3,1,1238755.924917698,2,2.5,3067.0,3.0,1.0,0.0,183.0,,,32.0,-37.8022,144.9975,3.0,4019.0
2,1,1035850.1681197584,2,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,32.0,-37.8011,145.0004,3.0,4019.0
4,1,1900713.3523966074,1,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,32.0,-37.8073,144.9952,3.0,4019.0
3,2,1217769.45240286,2,2.5,3067.0,3.0,2.0,2.0,0.0,,2010.0,32.0,-37.8093,144.9959,3.0,4019.0
3,3,1127392.8245616257,2,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,,32.0,-37.8078,144.9965,3.0,4019.0
2,3,655484.7722388208,2,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,32.0,-37.8015,144.9972,3.0,4019.0
2,1,1181776.4357588887,1,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,32.0,-37.8079,144.9977,3.0,4019.0
2,1,1204302.7784807384,2,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,32.0,-37.808,144.994,3.0,4019.0
1,3,549989.7989194095,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
1,3,549989.7989194095,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
1,3,464444.74814867973,4,2.5,3067.0,1.0,1.0,1.0,0.0,,,32.0,-37.8016,144.9988,3.0,4019.0
3,1,1582083.4471175969,1,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,32.0,-37.8017,145.0001,3.0,4019.0
1,3,473909.8371295333,2,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,32.0,-37.8078,144.9965,3.0,4019.0
2,1,1441973.6919298768,2,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,32.0,-37.8005,144.9952,3.0,4019.0
2,1,1233171.7468441725,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
4,1,1879892.6818844378,2,2.5,3067.0,4.0,3.0,1.0,0.0,,,32.0,-37.7994,144.9965,3.0,4019.0
3,2,1272189.2060697675,4,2.5,3067.0,,,,,,,,-37.7972,144.9969,3.0,4019.0
3,1,1521054.5668191612,2,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,32.0,-37.805,144.9943,3.0,4019.0
3,1,1317936.7105353177,2,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,32.0,-37.8007,144.9958,3.0,4019.0
1,3,353675.749691993,2,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,32.0,-37.8055,144.9961,3.0,4019.0
2,1,1200103.3805104196,2,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,32.0,-37.8016,144.9956,3.0,4019.0
3,1,1389475.374002725,4,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,32.0,-37.8022,144.9954,3.0,4019.0
2,1,1202171.2776016295,2,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,32.0,-37.8021,144.9976,3.0,4019.0
2,3,807604.435904026,4,2.5,3067.0,,,,,,,,,,3.0,4019.0
2,1,1175013.183672011,2,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,32.0,-37.8086,144.9946,3.0,4019.0
3,1,1502793.6275797486,2,2.5,3067.0,,,,,,,,,,3.0,4019.0
3,2,535658.1010580659,1,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,22.0,-37.718,144.878,7.0,3464.0
3,1,839361.9289153218,5,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,22.0,-37.7203,144.8755,7.0,3464.0
3,1,845365.5507907867,4,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,22.0,-37.7203,144.8755,7.0,3464.0
2,1,514934.1306460798,2,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,22.0,-37.7294,144.888,7.0,3464.0
3,2,595405.7741349638,2,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,22.0,-37.7218,144.8837,7.0,3464.0
3,1,695647.7387706339,2,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,22.0,-37.7273,144.8744,7.0,3464.0
2,3,-78465.48866656423,5,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,22.0,-37.7215,144.8864,7.0,3464.0
2,2,542590.6069223583,5,13.5,3042.0,,,,,,,,,,7.0,3464.0
