Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2,1,1480000,2,2.5,3067,2,1,1,202,,,32,-37.7996,144.9984,3,4019
2,1,1035000,2,2.5,3067,2,1,0,156,79,1900,32,-37.8079,144.9934,3,4019
3,1,1465000,4,2.5,3067,3,2,0,134,150,1900,32,-37.8093,144.9944,3,4019
3,1,850000,1,2.5,3067,3,2,1,94,,,32,-37.7969,144.9969,3,4019
4,1,1600000,5,2.5,3067,3,1,2,120,142,2014,32,-37.8072,144.9941,3,4019
2,1,941000,2,2.5,3067,2,1,0,181,,,32,-37.8041,144.9953,3,4019
3,1,1876000,2,2.5,3067,4,2,0,245,210,1910,32,-37.8024,144.9993,3,4019
2,1,1636000,2,2.5,3067,2,1,2,256,107,1890,32,-37.806,144.9954,3,4019
3,1,1000000,2,2.5,3067,,,,,,,,,,3,4019
2,2,745000,2,2.5,3067,,,,,,,,,,3,4019
1,3,300000,2,2.5,3067,1,1,1,0,,,32,-37.8008,144.9973,3,4019
2,1,1097000,2,2.5,3067,3,1,2,220,75,1900,32,-37.801,144.9989,3,4019
2,3,542000,2,2.5,3067,,,,,,,,,,3,4019
2,3,760000,4,2.5,3067,,,,,,,,,,3,4019
1,3,481000,4,2.5,3067,,,,,,,,,,3,4019
2,3,700000,5,2.5,3067,2,2,1,0,,,32,-37.811,145.0067,3,4019
3,1,1350000,5,2.5,3067,3,2,2,214,190,2005,32,-37.8085,144.9964,3,4019
2,3,750000,2,2.5,3067,2,2,1,0,94,2009,32,-37.8078,144.9965,3,4019
4,1,1985000,2,2.5,3067,,,,,,,,-37.8084,144.9942,3,4019
1,3,500000,2,2.5,3067,,,,,,,,,,3,4019
2,1,1172500,2,2.5,3067,2,1,1,195,,,32,-37.8084,144.9973,3,4019
1,3,441000,4,2.5,3067,1,1,1,0,,,32,-37.8016,144.9988,3,4019
2,1,1310000,2,2.5,3067,2,1,2,238,97,1890,32,-37.809,144.9976,3,4019
3,1,1200000,2,2.5,3067,3,2,1,113,110,1880,32,-37.8056,144.993,3,4019
2,2,847000,2,2.5,3067,,,,,,,,,,3,4019
3,1,1176500,2,2.5,3067,2,1,1,138,105,1890,32,-37.8021,144.9965,3,4019
3,1,955000,2,2.5,3067,3,1,0,183,,,32,-37.8022,144.9975,3,4019
2,1,890000,2,2.5,3067,2,1,1,150,73,1985,32,-37.8011,145.0004,3,4019
4,1,1330000,1,2.5,3067,4,2,2,780,135,1900,32,-37.8073,144.9952,3,4019
3,2,900000,2,2.5,3067,3,2,2,0,,2010,32,-37.8093,144.9959,3,4019
